2024-07-02 12:20:36,169 | INFO | 145 | WAN | Success
2024-07-02 12:20:44,873 | INFO | 147 | BIX | Success
2024-07-02 12:20:55,023 | INFO | 148 | CELR | Success
2024-07-02 12:21:04,928 | INFO | 149 | BEAM | Success
2024-07-02 12:21:14,219 | INFO | 150 | PIVX | Success
2024-07-02 12:21:22,265 | INFO | 151 | NEW | Success
2024-07-02 12:21:31,544 | INFO | 152 | ONE | Success
2024-07-02 12:21:39,677 | INFO | 156 | APL | Success
2024-07-02 12:21:49,579 | INFO | 157 | CRPT | Success
2024-07-02 12:21:57,603 | INFO | 158 | C20 | Success
2024-07-02 12:22:06,839 | INFO | 159 | MATIC | Success
2024-07-02 12:22:16,103 | INFO | 160 | ANT | Success
2024-07-02 12:22:25,760 | INFO | 161 | IOTX | Success
2024-07-02 12:22:34,419 | INFO | 165 | POLY | Success
2024-07-02 12:22:44,407 | INFO | 166 | TEL | Success
2024-07-02 12:22:53,694 | INFO | 169 | FET | Success
2024-07-02 12:23:02,530 | INFO | 170 | BRD | Success
2024-07-02 12:23:11,263 | INFO | 172 | PLC | Success
2024-07-02 12:23:20,904 | INFO | 176 | RLC | Success
2024-07-02 12:23:30,348 | INFO | 177 | GRS | Success
2024-07-02 12:23:39,597 | INFO | 199 | MITH | Success
2024-07-02 12:23:49,507 | INFO | 179 | TT | Success
2024-07-02 12:23:59,875 | INFO | 181 | GAS | Success
2024-07-02 12:24:09,804 | INFO | 182 | SYS | Success
2024-07-02 12:24:17,716 | INFO | 183 | NXT | Success
2024-07-02 12:24:27,276 | INFO | 185 | DRGN | Success
2024-07-02 12:24:37,235 | INFO | 188 | CTXC | Success
2024-07-02 12:24:46,993 | INFO | 189 | BFT | Success
2024-07-02 12:25:36,005 | INFO | 190 | FUN | Success
2024-07-02 12:25:44,877 | INFO | 191 | BOTX | Success
2024-07-02 12:26:28,277 | INFO | 192 | SKY | Success
2024-07-02 12:26:37,690 | INFO | 194 | CVC | Success
2024-07-02 12:26:45,648 | INFO | 196 | UGAS | Success
2024-07-02 12:26:55,155 | INFO | 197 | GNO | Success
2024-07-02 12:27:03,524 | INFO | 203 | VTC | Success
2024-07-02 12:27:12,216 | INFO | 205 | MTL | Success
2024-07-02 12:27:21,617 | INFO | 206 | CSC | Success
2024-07-02 12:27:28,759 | INFO | 208 | TRXC | Success
2024-07-02 12:27:37,245 | INFO | 210 | PAY | Success
2024-07-02 12:27:50,343 | INFO | 211 | HPB | Success
2024-07-02 12:28:00,175 | INFO | 215 | ANKR | Success
2024-07-02 12:28:09,054 | INFO | 217 | RUFF | Success
2024-07-02 12:28:19,261 | INFO | 220 | UTK | Success
2024-07-02 12:28:28,531 | INFO | 223 | LTO | Success
2024-07-02 12:28:37,266 | INFO | 224 | PART | Success
2024-07-02 12:28:47,195 | INFO | 226 | NKN | Success
2024-07-02 12:28:56,401 | INFO | 229 | MFT | Success
2024-07-02 12:29:04,233 | INFO | 230 | TKN | Success
2024-07-02 12:29:13,085 | INFO | 234 | CND | Success
2024-07-02 12:29:20,034 | INFO | 236 | WIX | Success
2024-07-02 12:29:30,093 | INFO | 237 | GTO | Success
2024-07-02 12:29:38,550 | INFO | 238 | ILC | Success
2024-07-02 12:29:46,499 | INFO | 242 | LBA | Success
2024-07-02 12:29:57,567 | INFO | 253 | AERGO | Success
2024-07-02 12:30:06,137 | INFO | 254 | DX | Success
2024-07-02 12:30:14,651 | INFO | 256 | OCN | Success
2024-07-02 12:30:23,479 | INFO | 257 | ACT | Success
2024-07-02 12:30:32,545 | INFO | 260 | IDEX | Success
2024-07-02 12:30:42,405 | INFO | 261 | NEBL | Success
2024-07-02 12:30:50,836 | INFO | 263 | EVX | Success
2024-07-02 12:31:00,085 | INFO | 265 | KIN | Success
2024-07-02 12:31:08,498 | INFO | 266 | SALT | Success
2024-07-02 12:31:17,969 | INFO | 268 | VGX | Success
2024-07-02 12:31:27,101 | INFO | 270 | DCN | Success
2024-07-02 12:31:38,766 | INFO | 271 | BTR | Success
2024-07-02 12:31:48,552 | INFO | 274 | VITE | Success
2024-07-02 12:32:10,742 | INFO | 275 | WGR | Success
2024-07-02 12:32:21,259 | INFO | 277 | DUSK | Success
2024-07-02 12:32:30,345 | INFO | 278 | CAJ | Success
2024-07-02 12:32:41,955 | INFO | 279 | RSR | Success
2024-07-02 12:32:52,535 | INFO | 280 | PLR | Success
2024-07-02 12:33:00,251 | INFO | 282 | XPX | Success
2024-07-02 12:33:11,000 | INFO | 283 | BLOCK | Success
2024-07-02 12:33:25,106 | INFO | 286 | PPC | Success
2024-07-02 12:33:37,184 | INFO | 291 | PMA | Success
2024-07-02 12:33:52,188 | INFO | 292 | ARRR | Success
2024-07-02 12:34:02,793 | INFO | 293 | PZM | Success
2024-07-02 12:34:13,094 | INFO | 128 | LA | Success
2024-07-02 12:34:24,016 | INFO | 201 | ROX | Success
2024-07-02 12:35:25,198 | ERROR | 202 | KAN | Error 504: Gateway Timeout. Server not responding.
2024-07-02 12:36:03,433 | INFO | 202 | KAN | Success
2024-07-02 12:36:44,818 | INFO | 235 | CLAM | Success
2024-07-02 12:36:53,421 | INFO | 130 | EURS | Success
2024-07-02 12:37:02,943 | INFO | 297 | TERA | Success
2024-07-02 12:37:12,895 | INFO | 298 | FLUX | Success
2024-07-02 12:37:26,346 | INFO | 299 | ADX | Success
2024-07-02 12:37:42,506 | INFO | 301 | OTO | Success
2024-07-02 12:37:56,059 | INFO | 305 | REQ | Success
2024-07-02 12:38:07,017 | INFO | 306 | RCN | Success
2024-07-02 12:38:19,164 | INFO | 307 | GO | Success
2024-07-02 12:38:30,179 | INFO | 311 | MOC | Success
2024-07-02 12:38:40,618 | INFO | 313 | OST | Success
2024-07-02 12:38:51,706 | INFO | 319 | DBC | Success
2024-07-02 12:38:59,455 | INFO | 322 | NMC | Success
2024-07-02 12:39:09,181 | INFO | 324 | NAV | Success
2024-07-02 12:39:18,290 | INFO | 328 | SMT | Success
2024-07-02 12:39:27,834 | INFO | 330 | BLZ | Success
2024-07-02 12:39:38,257 | INFO | 332 | XBY | Success
2024-07-02 12:39:49,854 | INFO | 333 | OXEN | Success
2024-07-02 12:39:58,859 | INFO | 335 | XWC | Success
2024-07-02 12:40:09,143 | INFO | 338 | CS | Success
2024-07-02 12:40:20,436 | INFO | 342 | MBL | Success
2024-07-02 12:40:29,958 | INFO | 344 | SMART | Success
2024-07-02 12:40:39,061 | INFO | 345 | MET | Success
2024-07-02 12:40:50,653 | INFO | 348 | DERO | Success
2024-07-02 12:41:03,204 | INFO | 350 | PRO | Success
2024-07-02 12:42:04,509 | ERROR | 353 | KCASH | Error 504: Gateway Timeout. Server not responding.
2024-07-02 12:42:34,195 | INFO | 353 | KCASH | Success
2024-07-02 12:42:53,968 | INFO | 354 | VIA | Success
2024-07-02 12:43:07,789 | INFO | 356 | EDG | Success
2024-07-02 12:43:24,125 | INFO | 359 | DMT | Success
2024-07-02 12:43:34,702 | INFO | 362 | OAX | Success
2024-07-02 12:43:42,615 | INFO | 365 | AT | Success
2024-07-02 12:43:52,456 | INFO | 366 | GUSD | Success
2024-07-02 12:44:02,384 | INFO | 368 | DDD | Success
2024-07-02 12:44:11,934 | INFO | 369 | VEE | Success
2024-07-02 12:44:20,834 | INFO | 370 | SENT | Success
2024-07-02 12:44:32,549 | INFO | 372 | MNW | Success
2024-07-02 12:44:41,138 | INFO | 373 | XAS | Success
2024-07-02 12:44:50,241 | INFO | 374 | MED | Success
2024-07-02 12:44:59,279 | INFO | 376 | RFR | Success
2024-07-02 12:45:12,811 | INFO | 377 | GNX | Success
2024-07-02 12:45:21,807 | INFO | 378 | GTC2 | Success
2024-07-02 12:45:32,702 | INFO | 381 | S4F | Success
2024-07-02 12:45:42,396 | INFO | 382 | MRX | Success
2024-07-02 12:45:51,579 | INFO | 384 | TEN | Success
2024-07-02 12:46:02,215 | INFO | 386 | MDS | Success
2024-07-02 12:46:12,453 | INFO | 387 | LCC | Success
2024-07-02 12:46:21,452 | INFO | 388 | SNGLS | Success
2024-07-02 12:46:32,813 | INFO | 389 | MTV | Success
2024-07-02 12:46:43,985 | INFO | 390 | LYM | Success
2024-07-02 12:46:54,566 | INFO | 392 | BTX | Success
2024-07-02 12:47:04,073 | INFO | 395 | PST | Success
2024-07-02 12:47:13,889 | INFO | 396 | MLN | Success
2024-07-02 12:47:23,222 | INFO | 397 | AST | Success
2024-07-02 12:47:32,843 | INFO | 401 | KEY | Success
2024-07-02 12:48:18,799 | INFO | 402 | NIX | Success
2024-07-02 12:48:29,609 | INFO | 404 | DNT | Success
2024-07-02 12:48:37,936 | INFO | 406 | VIBE | Success
2024-07-02 12:48:46,895 | INFO | 408 | NPX | Success
2024-07-02 12:48:56,802 | INFO | 409 | VIDT | Success
2024-07-02 12:49:05,784 | INFO | 410 | AOG | Success
2024-07-02 12:49:16,465 | INFO | 411 | XYO | Success
2024-07-02 12:49:25,660 | INFO | 418 | IHT | Success
2024-07-02 12:49:36,271 | INFO | 420 | CPC | Success
2024-07-02 12:49:45,953 | INFO | 421 | VEIL | Success
2024-07-02 12:49:55,338 | INFO | 423 | DLT | Success
2024-07-02 12:50:05,106 | INFO | 424 | VEX | Success
2024-07-02 12:50:16,796 | INFO | 431 | TRAC | Success
2024-07-02 12:50:25,846 | INFO | 434 | LEND | Success
2024-07-02 12:50:36,041 | INFO | 436 | DIVI | Success
2024-07-02 12:50:44,102 | INFO | 440 | KPL | Success
2024-07-02 12:50:52,935 | INFO | 442 | N8V | Success
2024-07-02 12:51:05,497 | INFO | 443 | APPC | Success
2024-07-02 12:51:17,136 | INFO | 444 | OCEAN | Success
2024-07-02 12:51:30,310 | INFO | 448 | STPT | Success
2024-07-02 12:51:40,685 | INFO | 451 | MXC | Success
2024-07-02 12:51:50,343 | INFO | 452 | SKM | Success
2024-07-02 12:52:00,695 | INFO | 454 | PI | Success
2024-07-02 12:52:38,274 | INFO | 456 | SSP | Success
2024-07-02 12:52:46,463 | INFO | 457 | EOSDAC | Success
2024-07-02 12:53:14,524 | INFO | 461 | MVL | Success
2024-07-02 12:53:24,920 | INFO | 464 | SNM | Success
2024-07-02 12:53:34,343 | INFO | 465 | GSC | Success
2024-07-02 12:53:44,842 | INFO | 466 | COTI | Success
2024-07-02 12:53:53,985 | INFO | 469 | LBC | Success
2024-07-02 12:54:02,058 | INFO | 473 | AMO | Success
2024-07-02 12:54:09,236 | INFO | 476 | PLBT | Success
2024-07-02 12:54:21,816 | INFO | 477 | LIT | Success
2024-07-02 12:54:34,259 | INFO | 478 | GAME | Success
2024-07-02 12:54:42,600 | INFO | 480 | MOBI | Success
2024-07-02 12:54:52,905 | INFO | 310 | DATA | Success
2024-07-02 12:55:02,409 | INFO | 429 | VIB | Success
2024-07-02 12:55:10,728 | INFO | 296 | POE | Success
2024-07-02 12:55:17,718 | INFO | 484 | WPR | Success
2024-07-02 12:55:26,343 | INFO | 487 | ABYSS | Success
2024-07-02 12:55:35,792 | INFO | 492 | TRTL | Success
2024-07-02 12:55:43,208 | INFO | 501 | UTT | Success
2024-07-02 12:55:50,285 | INFO | 504 | SINS | Success
2024-07-02 12:55:58,238 | INFO | 505 | SCC | Success
2024-07-02 12:56:08,374 | INFO | 507 | EMC | Success
2024-07-02 12:56:30,233 | INFO | 508 | ZCL | Success
2024-07-02 12:56:39,569 | INFO | 514 | SUB | Success
2024-07-02 12:56:49,784 | INFO | 515 | ADS2 | Success
2024-07-02 12:56:59,346 | INFO | 517 | FTC | Success
2024-07-02 12:57:12,996 | INFO | 520 | TUBE | Success
2024-07-02 12:57:22,390 | INFO | 521 | FUEL | Success
2024-07-02 12:57:32,335 | INFO | 522 | NIM | Success
2024-07-02 12:57:41,300 | INFO | 523 | ABL | Success
2024-07-02 12:57:50,405 | INFO | 526 | FTI | Success
2024-07-02 12:57:59,289 | INFO | 528 | ZPT | Success
2024-07-02 12:58:08,910 | INFO | 531 | XPM | Success
2024-07-02 12:58:18,362 | INFO | 533 | LUN | Success
2024-07-02 12:58:27,027 | INFO | 535 | NEU | Success
2024-07-02 12:58:35,613 | INFO | 536 | BLK | Success
2024-07-02 12:58:44,351 | INFO | 537 | XCP | Success
2024-07-02 12:58:52,783 | INFO | 545 | VEO | Success
2024-07-02 12:59:02,142 | INFO | 546 | ZCN | Success
2024-07-02 12:59:11,616 | INFO | 550 | BOLT | Success
2024-07-02 12:59:20,572 | INFO | 551 | SNC | Success
2024-07-02 12:59:29,655 | INFO | 552 | CHSB | Success
2024-07-02 12:59:38,962 | INFO | 553 | CLO | Success
2024-07-02 12:59:48,774 | INFO | 554 | POLIS | Success
2024-07-02 13:00:01,148 | INFO | 559 | PAC | Success
2024-07-02 13:00:11,124 | INFO | 560 | PHR | Success
2024-07-02 13:00:19,882 | INFO | 561 | REM | Success
2024-07-02 13:00:27,205 | INFO | 564 | RBY | Success
2024-07-02 13:00:36,387 | INFO | 568 | CAS | Success
2024-07-02 13:00:45,030 | INFO | 569 | BEET | Success
2024-07-02 13:00:54,086 | INFO | 570 | BAAS | Success
2024-07-02 13:01:03,155 | INFO | 571 | INK | Success
2024-07-02 13:01:11,925 | INFO | 578 | NSD | Success
2024-07-02 13:01:20,564 | INFO | 582 | WINGS | Success
2024-07-02 13:01:30,396 | INFO | 583 | BAX | Success
2024-07-02 13:01:39,806 | INFO | 592 | KAT | Success
2024-07-02 13:01:47,890 | INFO | 598 | QCH | Success
2024-07-02 13:01:56,960 | INFO | 604 | IMT | Success
2024-07-02 13:02:05,977 | INFO | 606 | XAUR | Success
2024-07-02 13:02:13,692 | INFO | 607 | COB | Success
2024-07-02 13:02:22,851 | INFO | 613 | HTML | Success
2024-07-02 13:02:30,666 | INFO | 614 | RTH | Success
2024-07-02 13:02:39,697 | INFO | 619 | SKB | Success
2024-07-02 13:02:49,899 | INFO | 625 | DPY | Success
2024-07-02 13:03:06,591 | INFO | 628 | RPD | Success
2024-07-02 13:03:15,492 | INFO | 631 | KICK | Success
2024-07-02 13:03:24,094 | INFO | 632 | NGC | Success
2024-07-02 13:03:32,121 | INFO | 634 | PXG | Success
2024-07-02 13:03:42,789 | INFO | 637 | NCT | Success
2024-07-02 13:03:51,521 | INFO | 640 | AVINOC | Success
2024-07-02 13:04:17,360 | INFO | 647 | NANJ | Success
2024-07-02 13:04:25,960 | INFO | 649 | THC7 | Success
2024-07-02 13:04:35,769 | INFO | 651 | SPC | Success
2024-07-02 13:05:11,140 | INFO | 655 | CEEK | Success
2024-07-02 13:05:30,722 | INFO | 660 | DMD | Success
2024-07-02 13:05:40,432 | INFO | 662 | ZCO | Success
2024-07-02 13:05:57,283 | INFO | 665 | NTK | Success
2024-07-02 13:06:11,989 | INFO | 672 | VAL | Success
2024-07-02 13:06:21,853 | INFO | 674 | NOKU | Success
2024-07-02 13:06:31,306 | INFO | 675 | CRW | Success
2024-07-02 13:06:41,753 | INFO | 681 | FTT | Success
2024-07-02 13:06:50,032 | INFO | 682 | FDZ | Success
2024-07-02 13:07:01,069 | INFO | 683 | UBT | Success
2024-07-02 13:07:10,171 | INFO | 687 | AXPR | Success
2024-07-02 13:07:20,780 | INFO | 688 | CXO | Success
2024-07-02 13:07:30,734 | INFO | 689 | SWTH | Success
2024-07-02 13:07:38,080 | INFO | 691 | EDRC | Success
2024-07-02 13:07:47,155 | INFO | 692 | UT | Success
2024-07-02 13:07:56,242 | INFO | 695 | ORME | Success
2024-07-02 13:08:06,361 | INFO | 700 | XHV | Success
2024-07-02 13:08:16,501 | INFO | 701 | SIX | Success
2024-07-02 13:08:25,890 | INFO | 702 | HMQ | Success
2024-07-02 13:08:34,478 | INFO | 707 | MIB | Success
2024-07-02 13:08:43,528 | INFO | 710 | DAX | Success
2024-07-02 13:08:52,172 | INFO | 714 | ZSC | Success
2024-07-02 13:09:01,768 | INFO | 720 | ZAP | Success
2024-07-02 13:09:10,314 | INFO | 723 | NOTE | Success
2024-07-02 13:09:19,011 | INFO | 725 | BMX | Success
2024-07-02 13:09:27,223 | INFO | 727 | EXRN | Success
2024-07-02 13:09:36,577 | INFO | 729 | CARD | Success
2024-07-02 13:09:44,706 | INFO | 731 | DOV | Success
2024-07-02 13:09:51,755 | INFO | 732 | UBEX | Success
2024-07-02 13:10:00,318 | INFO | 734 | UFR | Success
2024-07-02 13:10:09,682 | INFO | 736 | XFC | Success
2024-07-02 13:10:18,449 | INFO | 1072 | ADI | Success
2024-07-02 13:10:28,046 | INFO | 483 | BOMB | Success
2024-07-02 13:10:36,397 | INFO | 751 | HSC | Success
2024-07-02 13:10:44,008 | INFO | 752 | SNET | Success
2024-07-02 13:10:52,893 | INFO | 753 | FTX | Success
2024-07-02 13:11:01,776 | INFO | 760 | EKO | Success
2024-07-02 13:11:07,739 | INFO | 761 | SLR-1 | Success
2024-07-02 13:11:17,102 | INFO | 762 | GEM | Success
2024-07-02 13:11:24,389 | INFO | 764 | FOXT | Success
2024-07-02 13:11:34,669 | INFO | 769 | BIR | Success
2024-07-02 13:11:41,861 | INFO | 777 | DRT | Success
2024-07-02 13:11:50,920 | INFO | 778 | FLIXX | Success
2024-07-02 13:12:00,353 | INFO | 780 | PNK | Success
2024-07-02 13:12:08,942 | INFO | 791 | PTOY | Success
2024-07-02 13:12:17,686 | INFO | 793 | OK | Success
2024-07-02 13:12:25,734 | INFO | 796 | IDH | Success
2024-07-02 13:12:36,320 | INFO | 801 | OLT | Success
2024-07-02 13:12:44,583 | INFO | 802 | EFX | Success
2024-07-02 13:12:53,514 | INFO | 807 | SWT | Success
2024-07-02 13:13:03,542 | INFO | 808 | NVC | Success
2024-07-02 13:13:12,187 | INFO | 809 | PRIX | Success
2024-07-02 13:13:21,359 | INFO | 810 | SIB | Success
2024-07-02 13:13:28,945 | INFO | 811 | PAYX | Success
2024-07-02 13:13:37,961 | INFO | 813 | IPL | Success
2024-07-02 13:13:47,532 | INFO | 825 | CAPP | Success
